mz,name
669.5821,DG-H20(41:4)
670.5401,DG(39:7)
670.5984,TG(37:0)
670.6133,Cer(44:5)
670.6349,DG(38:0)
670.6496,CE(18:0)
671.4649,PA(34:3)
671.4651,PA(34:3)
671.5033,DG-H20(42:10)
671.5123,SM(32:3)
671.5977,DG-H20(41:3)
672.4604,PC(28:3)
672.556,DG(39:6)
672.6289,Cer(44:4)
673.4808,PA(34:2)
673.5189,DG-H20(42:9)
673.528,SM(32:2)
673.6131,DG-H20(41:2)
674.4761,PC(28:2)
674.5121,PC-P(29:1)
674.5717,DG(39:5)
675.4962,PA(34:1)
675.5346,DG-H20(42:8)
675.5434,SM(32:1)
675.5436,SM(32:1)
675.629,DG-H20(41:1)
676.4914,PE(31:1)
676.4917,PC(28:1)
676.5278,PC-O(29:1)
676.528,PC-P(29:0)
677.5121,PA(34:0)
677.5592,SM(32:0)
677.5593,SM(32:0)
678.5073,PE(31:0)
678.5074,PC(28:0)
678.5437,PC-O(29:0)
678.6035,DG(39:3)
680.4285,PE(32:6)
680.4654,PC-P(30:5)
680.5247,DG(40:9)
680.6192,DG(39:2)
681.4494,PA(35:5)
681.5821,DG-H20(42:5)
682.4442,PE(32:5)
682.4811,PC-O(30:5) or PC-P(30:4)
682.5404,DG(40:8)
682.5409,DG(40:8)
682.5982,TG(38:1)
682.6348,DG(39:1)
683.4651,PA(35:4)
683.5977,DG-H20(42:4)
684.4604,PE(32:4)
684.4967,PC-P(30:3)
684.4968,PC-O(30:4)
684.556,DG(40:7)
684.5566,DG(40:7)
684.6141,TG(38:0)
684.6505,DG(39:0)
685.4805,PA(35:3)
685.4807,PA(35:3)
685.5279,SM(33:3)
685.6134,DG-H20(42:3)
686.476,PE(32:3)
686.5124,PC-O(30:3) or PC-P(30:2)
686.5717,DG(40:6)
687.4964,PA(35:2)
687.5436,SM(33:2)
687.629,DG-H20(42:2)
688.4917,PE(32:2)
688.528,PC-P(30:1)
688.5281,PC-O(30:2)
688.5874,DG(40:5)
688.6026,CE(20:5)
689.512,PA(35:1)
689.559,SM(33:1)
689.5592,SM(33:1)
689.6447,DG-H20(42:1)
690.5071,PC(29:1) or PE(32:1)
690.5073,PE(32:1)
690.5437,PC-O(30:1)
690.5437,PC-P(30:0)
690.6183,CE(20:4)
691.5277,PA(35:0)
691.5749,SM(33:0)
691.5749,SM(33:0)
692.5229,PE(32:0)
692.523,PC(29:0)
692.523,PE(32:0)
692.5594,PC-O(30:0)
692.6192,DG(40:3)
692.6339,CE(20:3)
692.6915,Cer(45:1)
693.4489,PA(36:6)
693.4961,SM(34:6)
693.5815,DG-H20(43:6)
694.6127,Cer(46:7)
694.6346,DG(40:2)
695.4646,PA(36:5)
695.4649,PA(36:5)
695.5118,SM(34:5)
695.5972,DG-H20(43:5)
696.4604,PC(30:5)
696.6138,TG(39:1)
696.6284,Cer(46:6)
696.6505,DG(40:1)
697.4807,PA(36:4)
697.4808,PA(36:4)
697.5184,DG-H20(44:11)
697.528,SM(34:4)
698.4761,PC(30:4)
698.6297,TG(39:0)
698.6662,DG(40:0)
699.4964,PA(36:3)
699.5434,SM(34:3)
699.5436,SM(34:3)
700.4916,PE(33:3)
700.4917,PC(30:3)
701.5121,PA(36:2)
701.5593,SM(34:2)
702.5073,PE(33:2)
702.5074,PC(30:2)
702.5434,PC-P(31:1)
702.6035,DG(41:5)
703.5277,PA(36:1)
703.5747,SM(34:1)
703.5749,SM(34:1)
704.5227,PE(33:1)
704.5229,PE(33:1)
704.523,PC(30:1)
704.5247,DG(42:11)
704.5591,PC-O(31:1)
704.5593,PC-P(31:0)
704.6192,DG(41:4)
705.5434,PA(36:0)
705.5906,SM(34:0)
705.676,DG-H20(43:0)
706.4805,PC-P(32:6)
706.5386,PE(33:0)
706.5387,PC(30:0)
706.5404,DG(42:10)
706.575,PC-O(31:0)
706.5984,TG(40:3)
706.6348,DG(41:3)
706.7072,Cer(46:1)
707.4645,PA(37:6)
707.5977,DG-H20(44:6)
708.4598,PE(34:6)
708.4962,PC-O(32:6)
708.4962,PC-P(32:5)
708.556,DG(42:9)
708.6141,TG(40:2)
708.6502,DG(41:2)
709.4802,PA(37:5)
709.4805,PA(37:5)
709.5279,SM(35:5)
709.6134,DG-H20(44:5)
710.4755,PE(34:5)
710.5119,PC-O(32:5)
710.5124,PC-P(32:4)
710.5717,DG(42:8)
710.6297,TG(40:1)
710.6661,DG(41:1)
711.4964,PA(37:4)
711.5436,SM(35:4)
711.629,DG-H20(44:4)
712.4917,PE(34:4)
712.528,PC-P(32:3)
712.5281,PC-O(32:4)
712.6454,TG(40:0)
712.6965,CE(21:0)
713.512,PA(37:3)
713.559,SM(35:3)
713.5592,SM(35:3)
714.5071,PE(34:3)
714.5073,PE(34:3)
714.5437,PC-O(32:3)
714.5437,PC-P(32:2)
714.6177,CE(22:6)
715.5749,SM(35:2)
716.523,PE(34:2)
716.5591,PC-P(32:1)
716.5593,PC-P(32:1)
716.5594,PC-O(32:2)
716.6192,DG(42:5)
716.6334,CE(22:5)
717.4494,PA(38:8)
717.5431,PA(37:1)
717.5905,SM(35:1)**IS
718.5384,PC(31:1)
718.5384,PE(34:1)
718.5386,PE(34:1)
718.5748,PC-O(32:1)
718.5749,PC-P(32:0)
718.575,PC-O(32:1) or PC-P(32:0)
718.6348,DG(42:4)
719.4643,PA(38:7)
719.4651,PA(38:7)
719.559,PA(37:0)
719.6062,SM(35:0)
720.5543,PC(31:0)
720.5543,PE(34:0)
720.5906,PC-O(32:0)
720.5907,PC-O(32:0)
720.6505,DG(42:3)
721.4802,PA(38:6)
721.4807,PA(38:6)
721.5274,SM(36:6)
722.4755,PC(32:6)
722.6661,DG(42:2)
723.4959,PA(38:5)
723.4964,PA(38:5)
723.5431,SM(36:5)
723.5434,SM(36:5)
724.4912,PC(32:5)
724.4916,PE(35:5)
724.6451,TG(41:1)
724.6818,DG(42:1)
725.5121,PA(38:4)
725.5592,SM(36:4)
725.5593,SM(36:4)
726.5073,PE(35:4)
726.5074,PC(32:4)
726.5436,PC-P(33:3)
726.661,TG(41:0)
726.7122,CE(22:0)
727.5277,PA(38:3)
727.5749,SM(36:3)
728.5227,PE(35:3)
728.5229,PE(35:3)
728.523,PC(32:3)
728.5593,PC-O(33:3) or PC-P(33:2)
728.6186,DG(43:6)
729.5906,SM(36:2)
730.5386,PE(35:2)
730.5387,PC(32:2)
730.5747,PC-P(33:1)
730.5749,PC-P(33:1)
730.575,PC-O(33:2)
730.5984,TG(42:5)
730.6343,DG(43:5)
731.5587,PA(38:1)
731.559,PA(38:1)
731.6062,SM(36:1)
731.6916,DG-H20(45:1)
732.5541,PC(32:1)
732.5542,PE(35:1)
732.5543,PC(32:1)
732.5555,DG(44:11)
732.5904,PC-O(33:1)
732.5906,PC-P(33:0)
732.6141,TG(42:4)
733.4799,PA(39:7)
733.5747,PA(38:0)
733.6128,DG-H20(46:7)
733.6219,SM(36:0)
734.5118,PC-P(34:6)
734.5699,PC(32:0) or PE(35:0)
734.57,PC(32:0)
734.6063,PC-O(33:0) or PC-O(33:0)
734.6297,TG(42:3)
735.4958,PA(39:6)
735.543,SM(37:6)
735.6285,DG-H20(46:6)
736.4911,PE(36:6)
736.5275,PC-O(34:6) or PC-P(34:5)
736.6454,TG(42:2)
737.5115,PA(39:5)
737.5587,SM(37:5)
737.559,SM(37:5)
738.5068,PE(36:5)
738.5071,PE(36:5)
738.5432,PC-O(34:5)
738.5437,PC-P(34:4)
738.6608,TG(42:1)
738.661,TG(42:1)
739.5749,SM(37:4)
740.5229,PE(36:4)
740.523,PE(36:4)
740.5591,PC-P(34:3)
740.5593,PC-P(34:3)
740.5594,PC-O(34:4)
740.6767,TG(42:0)
740.7131,DG(43:0)
741.5433,PA(39:3)
741.5905,SM(37:3)
742.5386,PC(33:3) or PE(36:3)
742.5748,PC-O(34:3)
742.575,PC-P(34:2)
742.6348,DG(44:6)
743.4645,PA(40:9)
743.559,PA(39:2)
744.5543,PC(33:2) or PE(36:2)
744.5904,PC-P(34:1)
744.5906,PC-P(34:1)
744.5907,PC-O(34:2)
744.6505,DG(44:5)
745.4802,PA(40:8)
745.4807,PA(40:8)
745.5279,SM(38:8)
745.5746,PA(39:1)
745.6216,SM(37:1)
745.7073,DG-H20(46:1)
746.5697,PC(33:1)
746.5699,PC(33:1) or PE(36:1)
746.6061,PC-O(34:1)
746.6063,PC-O(34:1) or PC-P(34:0)
746.6661,DG(44:4)
747.4958,PA(40:7)
747.4964,PA(40:7)
747.5428,SM(38:7)
747.5436,SM(38:7)
747.5903,PA(39:0)
747.6375,SM(37:0)
748.5856,PC(33:0)
748.5856,PE(36:0)
748.622,PC-O(34:0)
748.6453,TG(43:3)
749.5115,PA(40:6)
749.5587,SM(38:6)
749.5592,SM(38:6)
750.5067,PE(37:6)
750.5068,PC(34:6)
750.5436,PC-P(35:5)
750.661,TG(43:2)
751.5272,PA(40:5)
751.5744,SM(38:5)
751.5749,SM(38:5)
752.5224,PE(37:5)
752.5225,PC(34:5)
752.5227,PE(37:5)
752.5593,PC-O(35:5) or PC-P(35:4)
752.6764,TG(43:1)
752.6766,TG(43:1)
752.7278,CE(24:1)
753.5906,SM(38:4)
754.5386,PE(37:4)
754.5387,PC(34:4)
754.5747,PC-P(35:3)
754.5749,PC-P(35:3)
754.575,PC-O(35:4)
754.6923,TG(43:0)
755.559,PA(40:3)
755.6062,SM(38:3)
756.5541,PC(34:3)
756.5542,PE(37:3)
756.5543,PC(34:3)
756.5904,PC-O(35:3)
756.5906,PC-O(35:3)
756.5906,PC-P(35:2)
756.6135,TG(44:6)
757.5744,PA(40:2)
758.57,PC(34:2)
758.6062,PC-P(35:1)
758.6063,PC-O(35:2)
758.6292,TG(44:5)
759.5903,PA(40:1)
759.6372,SM(38:1)
759.6375,SM(38:1)
760.4916,PE(38:8)
760.5853,PE(37:1)
760.5854,PC(34:1)
760.5856,PC(34:1)
760.6219,PC-O(35:1) or PC-P(35:0)
760.6454,TG(44:4)
761.5584,SM(39:7)
761.606,PA(40:0)
761.6532,SM(38:0)
762.5065,PE(38:7)
762.5073,PE(38:7)
762.5431,PC-P(36:6)
762.6012,PE(37:0)
762.6013,PC(34:0)
762.6376,PC-O(35:0)
762.6608,TG(44:3)
762.661,TG(44:3)
762.6735,phosphocholine**IS
763.5743,SM(39:6)
764.5224,PE(38:6)
764.5229,PE(38:6)
764.5588,PC-O(36:6) or PC-P(36:5)
764.5591,PC-P(36:5)
764.6767,TG(44:2)
765.5433,PA(41:5)
765.59,SM(39:5)
766.5381,PE(38:5)
766.5386,PC(35:5) or PE(38:5)
766.5745,PC-O(36:5)
766.5748,PC-O(36:5)
766.5749,PC-P(36:4)
766.575,PC-P(36:4)
766.692,TG(44:1)
766.6923,TG(44:1)
766.7287,DG(45:1)
767.4645,PA(42:11)
767.559,PA(41:4)
768.5543,PC(35:4) or PE(38:4)
768.5906,PC-O(36:4) or PC-P(36:3)
768.5906,PC-P(36:3)
768.5907,PC-O(36:4)
768.6499,DG(46:7)
768.708,TG(44:0)
769.4802,PA(42:10)
769.5746,PA(41:3)
769.6218,SM(39:3)
770.5697,PC(35:3)
770.5699,PC(35:3) or PE(38:3)
770.6063,PC-O(36:3) or PC-P(36:2)
770.6656,DG(46:6)
771.4958,PA(42:9)
771.543,SM(40:9)
771.59,PA(41:2)
771.6375,SM(39:2)
772.5856,PC(35:2)
772.6219,PC-P(36:1)
772.622,PC-O(36:2)
772.6453,TG(45:5)
773.5115,PA(42:8)
773.5587,SM(40:8)
773.5592,SM(40:8)
773.6059,PA(41:1)
773.6531,SM(39:1)
774.6009,PE(38:1)
774.6012,PC(35:1) or PE(38:1)
774.6376,PC-O(36:1) or PC-P(36:0)
774.661,TG(45:4)
775.5743,SM(40:7)
775.5749,SM(40:7)
775.6688,SM(39:0)
776.5221,PE(39:7)
776.5587,PC-P(37:6)
776.6169,PC(35:0) or PE(38:0)
776.6533,PC-O(36:0)
776.6764,TG(45:3)
776.6766,TG(45:3)
776.6892,phosphoethanolamine**IS
777.59,SM(40:6)
778.538,PE(39:6)
778.5381,PC(36:6)
778.5744,PC-O(37:6) or PC-P(37:5)
778.5747,PC-P(37:5)
778.6923,TG(45:2)
779.559,PA(42:5)
779.6057,SM(40:5)
780.5537,PE(39:5)
780.5538,PC(36:5)
780.5541,PC(36:5)
780.5901,PC-O(37:5)
780.5904,PC-O(37:5)
780.5906,PC-P(37:4)
780.7077,TG(45:1)
780.7079,TG(45:1)
780.7444,DG(46:1)
781.5746,PA(42:4)
782.5699,PC(36:4)
782.57,PC(36:4)
782.6062,PC-P(37:3)
782.6063,PC-O(37:4)
782.7236,TG(45:0)
783.5903,PA(42:3)
783.6375,SM(40:3)
784.5855,PE(39:3)
784.5856,PC(36:3)
784.6219,PC-O(37:3)
784.6448,TG(46:6)
785.6059,PA(42:2)
785.6529,SM(40:2)
786.5067,PE(40:9)
786.5436,PC-P(38:8)
786.6012,PE(39:2)
786.6013,PC(36:2)
786.6373,PC-P(37:1)
786.6605,TG(46:5)
786.6608,TG(46:5)
786.661,TG(46:5)
787.6216,PA(42:1)
787.6688,SM(40:1)
788.5224,PE(40:8)
788.5229,PE(40:8)
788.5585,PC-P(38:7)
