"targets.name","targets.mz","nearest_mz","mz_deviation","signal"
"DG-H20(35:5)",583.4725,583.4725,0,0
"Cer(38:6)",584.5032,584.4944,0.00879999999995107,364.178184055456
"DG(32:1)",584.5251,584.5247,0.000399999999899592,3587.55618826085
"DG-H20(35:4)",585.4882,585.4785,0.00969999999995252,225.204362643832
"Cer(38:5)",586.5189,586.5274,-0.00849999999991269,0
"DG(32:0)",586.5409,586.5434,-0.00250000000005457,1419.59540377356
"CE(12:0)",586.5557,586.5461,0.00959999999997763,691.20911806522
"PA(28:3)",587.3712,587.3662,0.00499999999999545,0
"DG-H20(35:3)",587.5036,587.5036,0,0
"Cer(38:4)",588.5351,588.5351,0,0
"PA(28:2)",589.3869,589.3869,0,0
"DG-H20(35:2)",589.5195,589.5289,-0.00940000000002783,244.846785261824
"LysoPC-P(24:1)",590.4549,590.4515,0.00339999999994234,0
"Cer(38:3)",590.5507,590.5476,0.00310000000001764,0
"PA(28:1)",591.4025,591.4123,-0.00979999999992742,13.7172865108485
"SM(26:1)",591.4495,591.4291,0.0203999999999951,129694.624313604
"DG-H20(35:1)",591.5351,591.5253,0.00980000000004111,231.015070734797
"LysoPC-O(24:1)",592.4706,592.4788,-0.00819999999998799,0
"PA(28:0)",593.4182,593.4182,0,0
"SM(26:0)",593.4654,593.4654,0,0
"DG-H20(35:0)",593.5508,593.5584,-0.00760000000002492,228.68335620777
"PE(25:0)",594.4134,594.4225,-0.00909999999998945,212.918932115709
"DG(33:3)",594.5096,594.5172,-0.00760000000002492,0
"Cer(38:1)",594.5817,594.5817,0,0
"DG-H20(36:6)",595.472,595.472,0,0
"Cer(39:7)",596.5029,596.5119,-0.00900000000001455,0
"DG(33:2)",596.5253,596.529,-0.00369999999998072,420.29006935637
"Cer(38:0)",596.5977,596.5926,0.00510000000008404,0
"DG-H20(36:5)",597.4877,597.4974,-0.00969999999995252,12.8205395158084
"Cer(39:6)",598.5188,598.5244,-0.00559999999995853,290.322978251689
"DG(33:1)",598.5407,598.5392,0.00149999999996453,0
"DG-H20(36:4)",599.5038,599.5058,-0.00200000000006639,1270.47328454337
"Cer(39:5)",600.5345,600.5345,0,245.203705658784
"DG(33:0)",600.5566,600.5468,0.00980000000004111,0
"DG-H20(36:3)",601.5195,601.5204,-0.000900000000001455,20615.0997008587
"DG(34:6)",602.4778,602.4778,0,0
"DG-H20(36:2)",603.5352,603.5333,0.00189999999997781,52065.4730865088
"DG(34:5)",604.4935,604.4935,0,0
"Cer(39:3)",604.5663,604.5581,0.00819999999998799,0
"PA(29:1)",605.4179,605.4265,-0.00860000000000127,0
"SM(27:1)",605.4651,605.4558,0.00930000000005293,195.407867857736
"DG-H20(36:1)",605.5508,605.5493,0.00149999999996453,2377.34725457923
"PE(26:1)",606.4132,606.4149,-0.00170000000002801,1063.67143660205
"PC-P(24:0)",606.4498,606.4458,0.0040000000000191,245.870935388514
"Cer(40:9)",606.4875,606.4785,0.00899999999990087,224.304964361738
"DG(34:4)",606.5097,606.5186,-0.00890000000003965,0
"Cer(39:2)",606.582,606.582,0,0
"PA(29:0)",607.4338,607.4433,-0.00950000000000273,0
"SM(27:0)",607.481,607.476,0.00499999999999545,0
"DG-H20(36:0)",607.5665,607.561,0.00549999999998363,2869.7858120213
"PE(26:0)",608.4291,608.4387,-0.00960000000009131,0
"PC-O(24:0)",608.4655,608.4754,-0.00990000000001601,4246.79766460445
"Cer(40:8)",608.5032,608.4935,0.00969999999995252,375.1269842932
"DG(34:3)",608.5251,608.5251,0,0
"Cer(39:1)",608.5976,608.5976,0,0
"DG-H20(37:6)",609.4876,609.4784,0.00920000000007803,651.565365841911
"Cer(40:7)",610.5188,610.5267,-0.00789999999994961,0
"DG(34:2)",610.541,610.5415,-0.000499999999988177,15906.9567236648
"Cer(39:0)",610.6133,610.6133,0,0
"PA(30:5)",611.3712,611.3712,0,0
"DG-H20(37:5)",611.5033,611.499,0.00429999999994379,2975.96659607835
"Cer(40:6)",612.5345,612.5187,0.0158000000000129,4558.08579959774
"DG(34:1)",612.5564,612.5555,0.000900000000001455,31490.922857795
"PA(30:4)",613.3869,613.3869,0,0
"DG-H20(37:4)",613.5195,613.5195,0,0
"Cer(40:5)",614.5502,614.5359,0.0143000000000484,13473.9987044177
"DG(34:0)",614.5723,614.5871,-0.0147999999999229,59137.9664193731
"CE(14:0)",614.587,614.5884,-0.00139999999998963,59137.9664193731
"PA(30:3)",615.4025,615.4025,0,0
"SM(28:3)",615.4497,615.4497,0,0
"DG-H20(37:3)",615.5351,615.538,-0.00289999999995416,1195.38387252168
"PA(30:2)",617.4182,617.4268,-0.00860000000000127,1099.18756117071
"SM(28:2)",617.4654,617.4654,0,0
"DG(35:5)",618.5096,618.5096,0,0
"Cer(40:3)",618.582,618.582,0,0
"PA(30:1)",619.4338,619.4322,0.00160000000005311,464.253038065978
"DG-H20(38:8)",619.4725,619.4705,0.00199999999995271,463.04257276232
"SM(28:1)",619.481,619.4758,0.00519999999994525,456.447746922079
"DG-H20(37:1)",619.5662,619.5662,0,0
"PE(27:1)",620.4288,620.4288,0,0
"PC-P(25:0)",620.4654,620.4654,0,0
"DG(35:4)",620.5253,620.5253,0,0
"Cer(40:2)",620.5974,620.5974,0,0
"PA(30:0)",621.4495,621.4417,0.00779999999997472,278.243084881757
"DG-H20(38:7)",621.4874,621.4874,0,0
"DG-H20(38:7)",621.4882,621.4882,0,0
"SM(28:0)",621.4967,621.4967,0,0
"DG-H20(37:0)",621.5821,621.5821,0,0
"PE(27:0)",622.4447,622.4531,-0.00839999999993779,501.168050334025
"PC-O(25:0)",622.4811,622.4739,0.00720000000001164,0
"DG(35:3)",622.5407,622.5407,0,0
"Cer(40:1)",622.6133,622.6119,0.00139999999998963,268.473289695946
"DG-H20(38:6)",623.5033,623.5033,0,0
"DG(35:2)",624.5566,624.5593,-0.00270000000000437,273.913138724662
"Cer(40:0)",624.629,624.629,0,0
"DG-H20(38:5)",625.519,625.519,0,0
"DG(35:1)",626.5722,626.5809,-0.00870000000008986,229.181640625
"DG-H20(38:4)",627.5352,627.5315,0.00369999999998072,1187.42652249246
"Cer(41:5)",628.5663,628.5757,-0.00940000000002783,83.2109177048142
"DG(35:0)",628.5879,628.6048,-0.0168999999999642,2987.10548537018
"CE(15:0)",628.6026,628.6029,-0.000299999999924694,2987.10548537018
"DG-H20(38:3)",629.5508,629.5515,-0.000700000000051659,258.745222761824
"PE(28:3)",630.4134,630.4128,0.000600000000076761,234.384184966216
"Cer(42:11)",630.4875,630.4819,0.00559999999995853,233.097682643581
"DG(36:6)",630.5091,630.5091,0,0
"Cer(41:4)",630.582,630.582,0,0
"PE(28:2)",632.4291,632.4291,0,0
"PC-P(26:1)",632.4652,632.4652,0,0
