mz,name
684.4375,PC(26:0)+Cl-_PE(29:0)+Cl-
684.461,PE(32:3)-H-
684.6066,Cer(42:1)+Cl-
684.6301,Cer(45:4)-H-
685.3851,PG(27:1)+Cl-
685.4085,PG(30:4)-H-
685.4814,PA(35:2)-H-
685.5291,SM(33:2)-H-
686.3805,PS(26:0)+Cl-
686.4765,PE(32:2)-H-
686.573,Cer(41:5)+AcO-
686.6223,Cer(42:0)+Cl-
687.4007,PG(27:0)+Cl-
687.4242,PG(30:3)-H-
687.4969,PA(35:1)-H-
687.5448,SM(33:1)-H-
688.375,PE(30:5)+Cl-
688.4194,PE(28:3)+AcO-
688.4921,PE(32:1)-H-_PC(29:1)-H-
688.4947,Cer(42:11)+AcO-
688.5441,Cer(43:6)+Cl-
688.5886,Cer(41:4)+AcO-
689.4399,PG(30:2)-H-
689.5126,PA(35:0)-H-
689.5604,SM(33:0)-H-
690.3905,PE(30:4)+Cl-
690.435,PE(28:2)+AcO-_PS(29:1)-H-
690.5078,PC(29:0)-H-_PE(32:0)-H-
690.5103,Cer(42:10)+AcO-
690.5598,Cer(43:5)+Cl-
690.6043,Cer(41:3)+AcO-
690.677,Cer(45:1)-H-
691.4109,PA(33:3)+Cl-
691.4343,PA(36:6)-H-
691.4554,PA(31:1)+AcO-_PG(30:1)-H-
691.4822,SM(34:6)-H-
691.5033,SM(29:1)+AcO-
692.4062,PE(30:3)+Cl-
692.4507,PE(28:1)+AcO-_PS(29:0)-H-
692.4815,Cer(44:11)+Cl-
692.526,Cer(42:9)+AcO-
692.5754,Cer(43:4)+Cl-
692.5987,Cer(46:7)-H-
692.6198,Cer(41:2)+AcO-
692.6927,Cer(45:0)-H-
693.4265,PA(33:2)+Cl-
693.45,PA(36:5)-H-
693.471,PA(31:0)+AcO-
693.4979,SM(34:5)-H-
693.5189,SM(29:0)+AcO-
694.4219,PE(30:2)+Cl-
694.4453,PC(30:5)-H-
694.4663,PC(25:0)+AcO-_PE(28:0)+AcO-
694.4971,Cer(44:10)+Cl-
694.5416,Cer(42:8)+AcO-
694.5911,Cer(43:3)+Cl-
694.6144,Cer(46:6)-H-
694.6355,Cer(41:1)+AcO-
695.3696,PG(28:3)+Cl-
695.3928,PA(32:6)+AcO-
695.414,PG(26:1)+AcO-
695.4422,PA(33:1)+Cl-
695.4656,PA(36:4)-H-
695.4901,SM(31:1)+Cl-
695.5135,SM(34:4)-H-
696.3883,PS(30:5)-H-
696.4093,PS(25:0)+AcO-
696.4375,PC(27:1)+Cl-_PE(30:1)+Cl-
696.461,PC(30:4)-H-
696.5128,Cer(44:9)+Cl-
696.5573,Cer(42:7)+AcO-
696.63,Cer(46:5)-H-
696.6512,Cer(41:0)+AcO-
697.3851,PG(28:2)+Cl-
697.3933,PI(24:0)-H-
697.4085,PA(32:5)+AcO-
697.4296,PG(26:0)+AcO-
697.4564,SM(30:5)+AcO-
697.4578,PA(33:0)+Cl-
697.4814,PA(36:3)-H-
697.5057,SM(31:0)+Cl-
697.5292,SM(34:3)-H-
698.3805,PS(27:1)+Cl-
698.4039,PS(30:4)-H-
698.4531,PC(27:0)+Cl-_PE(30:0)+Cl-
