"Molecule_List_Name","Precursor_Name","Precursor_m_z","Precursor_Charge"
"Lipid","SM(29:0)",635.5123,1
"Lipid","DG-H20(38:0)",635.5978,1
"Lipid","PC(25:0) or PE(28:0)",636.4604,1
"Lipid","PC-O(26:0)",636.4968,1
"Lipid","Cer(42:8)",636.5345,1
"Lipid","DG(36:3)",636.5566,1
"Lipid","Cer(41:1)",636.6289,1
"Lipid","PA(32:6)",637.3863,1
"Lipid","DG-H20(39:6)",637.5189,1
"Lipid","DG(36:2)",638.5723,1
"Lipid","PA(32:5)",639.402,1
"Lipid","SM(30:5)",639.4497,1
"Lipid","DG-H20(39:5)",639.5346,1
"Lipid","DG(36:1)",640.5879,1
"Lipid","CE(16:1)",640.6024,1
"Lipid","PA(32:4)",641.4182,1
"Lipid","SM(30:4)",641.4654,1
"Lipid","Cer(42:5)",642.582,1
"Lipid","DG(36:0)",642.6036,1
"Lipid","CE(16:0)",642.6183,1
"Lipid","PA(32:3)",643.4338,1
"Lipid","SM(30:3)",643.481,1
"Lipid","DG-H20(39:3)",643.5664,1
"Lipid","DG(37:6)",644.5247,1
"Lipid","Cer(42:4)",644.5976,1
"Lipid","PA(32:2)",645.4495,1
"Lipid","DG-H20(40:9)",645.4876,1
"Lipid","SM(30:2)",645.4967,1
"Lipid","DG-H20(39:2)",645.5821,1
"Lipid","PC-P(27:1)",646.4808,1
"Lipid","DG(37:5)",646.5404,1
"Lipid","Cer(42:3)",646.6133,1
"Lipid","PA(32:1)",647.4649,1
"Lipid","DG-H20(40:8)",647.5033,1
"Lipid","SM(30:1)",647.5123,1
"Lipid","DG-H20(39:1)",647.5977,1
"Lipid","PE(29:1)",648.4601,1
"Lipid","PC-O(27:1)",648.4965,1
"Lipid","DG(37:4)",648.5566,1
"Lipid","Cer(42:2)",648.6289,1
"Lipid","PA(32:0)",649.4807,1
"Lipid","DG-H20(40:7)",649.5189,1
"Lipid","SM(30:0)",649.528,1
"Lipid","DG-H20(39:0)",649.6134,1
"Lipid","PE(29:0)",650.476,1
"Lipid","PC-O(27:0)",650.5124,1
"Lipid","DG(37:3)",650.5722,1
"Lipid","Cer(42:1)",650.6446,1
"Lipid","DG-H20(40:6)",651.5346,1
"Lipid","DG-H20(40:5)",653.5503,1
"Lipid","PE(30:5)",654.4134,1
"Lipid","DG(38:8)",654.5096,1
"Lipid","Cer(43:6)",654.5814,1
"Lipid","DG(37:1)",654.6033,1
"Lipid","CE(17:1)",654.618,1
"Lipid","PE(30:4)",656.4291,1
"Lipid","PC-P(28:3)",656.4654,1
"Lipid","DG(38:7)",656.5245,1
"Lipid","DG(38:7)",656.5253,1
"Lipid","TG(36:0)**IS",656.5828,1
"Lipid","Cer(43:5)",656.5971,1
"Lipid","DG(37:0)",656.6192,1
"Lipid","CE(17:0)",656.6339,1
"Lipid","PA(33:3)",657.4494,1
"Lipid","DG-H20(40:3)",657.5821,1
"Lipid","PE(30:3)",658.4447,1
"Lipid","PC-O(28:3) or PC-P(28:2)",658.4811,1
"Lipid","Cer(44:11)",658.5183,1
"Lipid","DG(38:6)",658.5404,1
"Lipid","PA(33:2)",659.4651,1
"Lipid","DG-H20(40:2)",659.5975,1
"Lipid","PE(30:2)",660.4604,1
"Lipid","PC-P(28:1)",660.4967,1
"Lipid","DG(38:5)",660.5561,1
"Lipid","PA(33:1)",661.4805,1
"Lipid","SM(31:1)",661.5277,1
"Lipid","DG-H20(40:1)",661.6134,1
"Lipid","PC(27:1)",662.4758,1
"Lipid","PC-O(28:1) or PC-P(28:0)",662.5124,1
"Lipid","DG(38:4)",662.5723,1
"Lipid","PA(33:0)",663.4964,1
"Lipid","SM(31:0)",663.5436,1
"Lipid","DG-H20(40:0)",663.6291,1
"Lipid","PC(27:0) or PE(30:0)",664.4917,1
"Lipid","PC-O(28:0)",664.5281,1
"Lipid","DG(38:3)",664.5879,1
"Lipid","CE(18:3)",664.6026,1
"Lipid","PA(34:6)",665.4176,1
"Lipid","SM(32:6)",665.4648,1
"Lipid","CE(18:2)",666.6183,1
"Lipid","Cer(43:0)",666.6759,1
"Lipid","PA(34:5)",667.4333,1
"Lipid","SM(32:5)",667.4805,1
"Lipid","DG-H20(41:5)",667.5664,1
"Lipid","Cer(44:6)",668.5976,1
"Lipid","DG(38:1)",668.6189,1
"Lipid","CE(18:1)",668.6339,1
"Lipid","PA(34:4)",669.4495,1
"Lipid","DG-H20(42:11)",669.4876,1
"Lipid","SM(32:4)",669.4967,1
"Lipid","DG-H20(41:4)",669.5821,1
"Lipid","DG(39:7)",670.5401,1
"Lipid","TG(37:0)",670.5984,1
"Lipid","Cer(44:5)",670.6133,1
